"Company Name",Address,City,State,Zip,"Address Latitude","Address Longitude","Utility Owner","Utility Operator","Utility Type","Annual Generation","Min Generation Date","Max Generation Date","Power Plants","FERC Seller Min Date","FERC Seller Max Date","FERC Seller Total Transactions","FERC Seller Total Transaction Charges","FERC Buyer Min Date","FERC Buyer Max Date","FERC Buyer Total Transactions","FERC Buyer Total Transaction Charges","FERC Summary Quarter","FERC Seller Quarterly Transactions","FERC Seller Quarterly Transaction Charges","FERC Buyer Quarterly Transactions","FERC Buyer Quarterly Transaction Charges"
"Selective Insurance","40 Wantage Ave",Branchville,NJ,7890,41.15200900,-74.74336900,N,N,"Independent Power Producer",3833.211000,2019-11-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"KMC Thermo, LLC","16400 Mattawoman Drive",Brandywine,MD,20613,38.66828600,-76.86723800,Y,Y,"Independent Power Producer",578472.000000,2001-01-01,2024-10-01,1,2014-06-01,2024-10-01,917329,318729072.47,2019-03-01,2019-03-31,1,58215.98,2024_q2,36932,8701729.65,,
"PSEG Keys Energy Center, LLC","10322 North Keys Road",Brandywine,MD,20613,38.70112700,-76.82943900,N,Y,"Independent Power Producer",5372302.000000,2018-07-01,2024-10-01,1,2018-05-01,2021-12-31,44,742143619.20,,,,,2024_q2,,,,
"Five Crowns Inc","551 W. Main Street #2",Brawley,CA,92227,32.97925600,-115.55100300,Y,N,Industrial,562.626000,2013-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Spreckels Sugar Company","395 W Keystone Road",Brawley,CA,92227,32.91274000,-115.56894900,Y,N,Industrial,17963.561000,2011-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"City of Breese - (IL)","800 North First St",Breese,IL,62230,38.60739300,-89.52420400,Y,N,"Municipally-Owned Utility",332.515000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Major Oak Power, LLC","13065 Plant Road",Bremond,TX,76629,31.09279900,-96.69827500,N,Y,"Independent Power Producer",2219231.009000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Georgia-Pacific Brewton LLC","32224 Hwy 31",Brewton,AL,36427,31.07776800,-87.11975500,Y,N,Industrial,527269.999000,2002-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Bridgeport Energy LLC","10 Atlantic Street",Bridgeport,CT,6604,41.16874100,-73.18435100,Y,N,"Independent Power Producer",2750803.000000,2001-01-01,2024-10-01,1,2013-07-01,2024-09-30,939692,1782203532.42,,,,,2024_q2,16118,20906654.09,,
"UB Fuel Cell","446 University Ave",Bridgeport,CT,6604,41.16490000,-73.19350000,Y,N,Commercial,11234.400000,2022-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Bridgeport Disposal LLC","PO Box 337",Bridgeport,NJ,8014,39.80117400,-75.34224700,Y,Y,Industrial,1834.562000,2013-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Jack County Power, LLC","3844 Henderson Ranch Rd",Bridgeport,TX,76426,33.10306200,-97.95724400,Y,N,"Independent Power Producer",7202920.000000,2023-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Massachusetts Department of Correction","12A Titcut St",Bridgewater,MA,2324,41.94738200,-70.94305200,Y,Y,"State-Owned Utility",9470.844000,2020-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"COE Bridgewater LLC c/o Thor Equities, LLC","1021 U.S. Highway 202/206",Bridgewater,NJ,8807,40.62326300,-74.62946400,Y,Y,Commercial,28678.720000,2019-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Brigham City Corporation","P O Box 1005, 20 North Main St","Brigham City",UT,84302,41.51089000,-112.01497000,Y,N,"Municipally-Owned Utility",8062.691000,2001-01-01,2023-12-01,2,,,,,2013-07-01,2015-06-12,17039,12499443.96,2024_q2,,,,
"Wolf Hills Energy LLC","14555 Industrial Park Rd",Bristol,VA,24202,36.66404100,-82.10440300,Y,Y,"Independent Power Producer",0.000000,2008-01-01,2015-12-01,0,2013-07-01,2024-10-01,766534,220507182.87,,,,,2024_q2,11358,3972575.41,,
"Oneta Power LLC","25142 East 105th Street South","Broken Arrow",OK,74014,36.01060200,-95.69341900,N,Y,"Independent Power Producer",5981753.000000,2002-07-01,2024-10-01,1,2014-04-01,2024-10-01,11758855,2315171481.13,2014-08-01,2015-03-06,149,2167901.50,2024_q2,330403,59778115.47,,
"Broken Bow Wind II, LLC","80538 Round Valley Road","Broken Bow",NE,68822,41.49754100,-99.58808200,Y,Y,"Independent Power Producer",0.000000,2014-10-01,2018-12-01,0,2014-08-23,2024-10-01,35401,111353242.74,,,,,2024_q2,3,3283171.30,,
"Montefiore Medical Center Moses Division","111 East 210 Street",Bronx,NY,10467,40.87999600,-73.88062300,N,Y,Commercial,31147.831000,2013-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"New York Zoological Society","The Bronx Zoo185th Street & So",Bronx,NY,10460,40.84058000,-73.88329500,Y,N,"Independent Power Producer",21767.327000,2001-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Riverbay Corp","2049 Bartow Avenue",Bronx,NY,10475,40.87084900,-73.82932700,Y,N,Commercial,186961.630000,2002-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"ABN Energy LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2013-07-01,2024-10-01,273542,244151.58,,,,,2024_q2,27856,8979.99,,
"Aggressive Energy LLC","78 Rapelye Street",Brooklyn,NY,11231,40.68050100,-74.00353000,N,N,,0.000000,,,0,2015-04-03,2024-10-01,3265950,91689364.08,2013-07-01,2024-09-30,1227244,596266323.28,2024_q2,180279,5934805.07,50,19267140.64
"Atlantic Energy LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2016-10-22,2024-10-01,8941600,47831612.92,2013-08-01,2024-09-30,1360,85549182.56,2024_q2,341445,801569.66,65,1487926.04
"Brooklyn Navy Yard Cogen PLP","63 Flushing Ave Unit 234",Brooklyn,NY,11205,40.70137700,-73.97219200,Y,N,"Independent Power Producer",2296896.001000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Brooklyn Navy Yard Cogeneration Partners, L.P.","63 Flushing Ave, Bldg 41, Unit 234",Brooklyn,NY,11205,40.70137700,-73.97219200,N,N,,0.000000,,,0,2013-07-01,2024-10-01,154,9221266.97,,,,,2024_q2,3,177753.23,,
"Brown's Energy Services, LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2016-01-01,2024-10-01,989309,286756.01,,,,,2024_q2,53500,9405.94,,
"Copenhagen Wind Farm, LLC","45 Main Street",Brooklyn,NY,11201,40.70284000,-73.99056900,Y,Y,"Independent Power Producer",0.000000,2018-12-01,2018-12-01,0,2018-11-27,2024-10-01,12546,111688267.09,,,,,2024_q2,556,4973683.93,,
"David Energy Supply, LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2021-07-01,2024-10-01,382648,3237893.81,2021-07-30,2024-10-01,9185,7430433.00,2024_q2,95,606251.89,95,606251.89
"DXT Commodities North America Inc.","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2019-12-01,2024-10-01,534756,282792128.15,,,,,2024_q2,18411,15732504.04,,
"First Choice Energy LLC","78 Rapelye Street",Brooklyn,NY,11231,40.68050100,-74.00353000,N,N,,0.000000,,,0,2019-04-01,2024-10-01,264046,183784.63,2013-07-01,2018-09-30,63,2793171.27,2024_q2,4951,3665.37,,
"Grid Power Direct, LLC","1 Metrotech Center North",Brooklyn,NY,11021,40.69316394,-73.98715942,N,N,,0.000000,,,0,2019-07-03,2024-10-01,2298038,6081504.14,2019-07-01,2024-08-31,6476,54166601.80,2024_q2,114650,174047.90,6,166377.20
"Harborside Energy of Massachusetts, LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2016-01-01,2024-10-01,1911996,583954.68,,,,,2024_q2,56220,13850.69,,
"IDT Energy, Inc.","159 20th St, Ste 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2014-01-01,2024-10-01,7485942,65578721.04,2013-07-01,2024-09-30,9352976,1035771321.53,2024_q2,254648,8239060.47,52690,32110121.74
"Kiwi Energy NY LLC","144 N. 7th Street, #417",Brooklyn,NY,11211,40.71814800,-73.95868100,N,N,,0.000000,,,0,2013-07-01,2024-10-01,1395605,-310925.89,2014-11-01,2024-09-30,164,5525787.25,2024_q2,79922,26580.61,3,17400.24
"Massachusetts Electric Co","2 Hanson Place",Brooklyn,NY,11217,40.68475700,-73.97690900,Y,N,"Investor-Owned Utility",2183.295000,2010-06-01,2023-12-01,3,2013-07-01,2024-09-30,55889143,907030307.51,2013-07-01,2024-10-01,93048,6942515263.26,2024_q2,2184789,22199870.34,97,92607007.70
"Median Energy Corp.","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2022-07-01,2024-09-30,910928,197999.09,,,,,2024_q2,144230,22743.71,,
"Palmco Power DC, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2017-07-15,2024-10-01,293605,119237.83,2017-08-01,2018-12-31,64,148536.68,2024_q2,4092,1436.93,,
"Palmco Power DE, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2018-03-15,2024-10-01,364277,520446.76,,,,,2024_q2,7872,2428.30,,
"Palmco Power IL, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2013-07-26,2024-09-29,714222,19892239.57,2017-01-01,2022-12-31,574,11260993.04,2024_q2,7771,30930.05,,
"Palmco Power MA, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2014-11-06,2024-07-31,1102022,1960685.45,2017-02-01,2021-08-31,546,7480384.53,2024_q2,40047,19873.07,,
"Palmco Power MD, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2013-07-26,2024-10-01,1231038,4494206.46,2017-01-01,2018-12-31,418,2557374.61,2024_q2,15553,5220.90,,
"Palmco Power NJ, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2013-07-16,2024-10-01,1323689,6374613.51,2017-02-01,2018-12-31,302,1280684.98,2024_q2,21001,9629.08,,
"Palmco Power PA, LLC","8751 18th Avenue",Brooklyn,NY,11214,40.60471900,-74.00496800,N,N,,0.000000,,,0,2013-07-26,2024-10-01,1924934,19642590.86,2016-11-16,2023-04-30,11645,40713224.88,2024_q2,20902,7747.22,,
"Park Power LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2013-07-01,2024-10-01,4689864,58454047.89,2013-07-01,2024-09-30,616558,97761020.88,2024_q2,109639,243448.52,14799,503371.92
"Pay Less Energy LLC","159 20th St., 1B'",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2021-04-01,2024-10-01,311889,85753.39,2016-06-01,2018-09-30,28,732645.16,2024_q2,38752,10449.69,,
"Polaris Power Services LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2021-07-11,2024-10-01,1279513,902868.55,2022-02-01,2024-10-01,331,481620.08,2024_q2,93888,80589.95,82,144874.65
"Residents Energy, LLC","159 20th St, Ste 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2016-01-01,2024-10-01,6466684,222691200.07,2014-10-01,2024-09-30,7540642,212920106.38,2024_q2,345241,12416835.53,21222,1085600.17
"RMQ Ventures LLC","2250 59th St, 4th Floor",Brooklyn,NY,11204,40.61625200,-73.97662300,N,N,,2761.000000,2023-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"South Bay Energy Corp.","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2017-05-01,2024-10-01,3172843,1114743.90,2024-08-01,2024-10-01,1,32666.14,2024_q2,133390,21945.75,,
"Spring Energy RRH, LLC","144 N. 7th Street, #417",Brooklyn,NY,11211,40.71814800,-73.95868100,N,N,,0.000000,,,0,2016-03-15,2024-10-01,888657,3381329.21,2016-03-15,2024-09-30,3626,6575811.36,2024_q2,32520,84436.97,9,173981.28
"Town Square Energy, LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2013-11-02,2024-10-01,6025295,25611034.99,2013-11-04,2024-09-30,6665023,174432506.58,2024_q2,188575,18266.40,161255,116810.89
"V3 Commodities Group, LLC","159 20th St., 1B",Brooklyn,NY,11232,40.66379900,-73.99550400,N,N,,0.000000,,,0,2018-04-01,2024-08-31,1547,60493866.45,2018-04-02,2024-09-01,892,59801986.74,2024_q2,10,135732.72,2,129924.72
"Veolia North America","5100 Kings Plaza",Brooklyn,NY,11234,40.60984200,-73.91965000,N,Y,Commercial,18430.043000,2019-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Hernando Energy","14436 Landfill Road",Brooksville,FL,34614,28.66894100,-82.48567600,Y,Y,"Independent Power Producer",10767.804000,2017-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Dix Solar, L.L.C","7419 Juliustown Rd","Browns Mills",NJ,8015,39.98751343,-74.61498087,Y,N,"Independent Power Producer",22123.995000,2017-06-01,2022-12-01,0,,,,,,,,,2024_q2,,,,
"Brownsville Public Utilities Board","P.O. Box 3270",Brownsville,TX,78523,25.90240700,-97.49919300,Y,N,"Municipally-Owned Utility",130536.849000,2001-03-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Brunswick Cellulose LLC","1400 W Ninth Street",Brunswick,GA,31520,31.17391800,-81.51590600,Y,N,Industrial,403878.000000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Brush Power LLC","1500 S Clayton St",Brush,CO,80723,40.24193300,-103.62669400,N,Y,"Independent Power Producer",127845.000000,2023-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"City of Bryan - (OH)","841 East Edgerton Street",Bryan,OH,43506,41.47987300,-84.53875500,Y,N,"Municipally-Owned Utility",11260.635000,2001-01-01,2023-12-01,3,,,,,,,,,2024_q2,,,,
"City of Bryan - (TX)","205 East 28th Street",Bryan,TX,77803,30.67117600,-96.37201800,Y,N,"Municipally-Owned Utility",210122.641000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Alliance HP Virginia Drive LLC","40 Morris Ave, Suite 230","Bryn Mawr",PA,19010,40.02312100,-75.31666000,Y,Y,"Independent Power Producer",1306.053000,2020-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Aqua America Inc","762 Lancaster Ave","Bryn Mawr",PA,19010,40.01926000,-75.31447800,Y,N,"Independent Power Producer",2769.902000,2009-12-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Bucksport Generation LLC","2 River Road, PO Box 1200",Bucksport,ME,4416,44.57261100,-68.79630100,Y,N,"Independent Power Producer",19247.000000,2001-01-01,2024-10-01,2,2015-01-01,2024-09-30,398367,152594259.73,2015-01-01,2017-04-30,8025,7684233.24,2024_q2,1502,3992840.90,,
"Indeck-Corinth Ltd Partnership","600 N. Buffalo Grove RoadSuite","Buffalo Grove",IL,60089,42.16493400,-87.96612400,Y,Y,"Independent Power Producer",563611.000000,2001-01-01,2023-12-01,1,2015-07-01,2024-09-30,466876,268239257.26,2020-05-01,2023-10-31,231,5253608.60,2024_q2,8212,4245430.88,,
"Indeck-Energy Serv Silver Spg","600 N. Buffalo Grove Road","Buffalo Grove",IL,60089,42.16493400,-87.96612400,Y,Y,"Independent Power Producer",43359.970000,2001-03-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Indeck Niles, LLC","600 N Buffalo Grove Road, Suit","Buffalo Grove",IL,60089,42.16493400,-87.96612400,Y,N,"Independent Power Producer",7857710.000000,2022-07-01,2024-10-01,1,2021-12-28,2024-10-01,254492,656738938.11,,,,,2024_q2,30941,58419139.57,,
"Indeck-Olean Ltd Partnership","Suite 3001130 Lake Cook Road","Buffalo Grove",IL,60089,42.15303776,-87.89829008,Y,N,"Independent Power Producer",42075.000000,2001-03-01,2023-12-01,1,2013-07-01,2024-09-30,251121,124465724.41,,,,,2024_q2,3085,1363777.76,,
"Indeck-Oswego Ltd Partnership","600 N Buffalo Grove Road600 N","Buffalo Grove",IL,60089,42.16493400,-87.96612400,Y,N,"Independent Power Producer",36916.000000,2001-03-01,2023-12-01,1,2013-07-01,2024-09-30,94283,46719317.82,,,,,2024_q2,2537,1030870.96,,
"Indeck-Yerkes Ltd Partnership","600 N Buffalo Grove Rd, Suite","Buffalo Grove",IL,60089,42.16493400,-87.96612400,Y,N,"Independent Power Producer",31776.000000,2001-01-01,2023-12-01,1,2013-07-01,2024-09-30,103153,46352369.50,,,,,2024_q2,1704,697530.77,,
"HQC Tatanka Wi Solar Power Generation LLC","4240 County Highway 12 North",Buffalo,MN,55313,45.20924300,-93.88919096,N,Y,"Independent Power Producer",10124.440000,2017-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Energy Cooperative of New York, Inc","325 Delaware Ave. Ste. 102A",Buffalo,NY,14202,42.89305400,-78.87538300,N,N,,0.000000,,,0,2013-07-01,2024-10-01,4452946,8183254.76,,,,,2024_q2,180840,212012.83,,
"Mohave Electric Cooperative, Inc.","PO Box 22530","Bullhead City",AZ,86439,35.10419100,-114.61235000,Y,N,Cooperative,26196.436000,2022-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"City of Burbank Water and Power","164 W. Magnolia Blvd.",Burbank,CA,91503,34.17814000,-118.31543500,Y,Y,"Municipally-Owned Utility",1688999.723000,2001-01-01,2024-10-01,6,,,,,2013-07-01,2024-09-30,51124,207170392.29,2024_q2,,,1450,3135664.50
"Southern Idaho Solid Waste","1050 W 400 S / PO Box 159",Burley,ID,83318,42.53578900,-113.79295500,Y,Y,"Political Subdivision",19939.568000,2019-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Silverstrand Grid, LLC","988 Howard Avenue, Suite 200",Burlingame,CA,94010,37.57970800,-122.34260200,Y,Y,"Independent Power Producer",0.000000,,,1,2021-03-22,2024-09-30,212805,5338084.11,,,,,2024_q2,4531,163429.81,,
"City of Burlington Electric - (VT)","415 - 15th St",Burlington,CO,80807,39.30527300,-102.26948700,Y,Y,"Municipally-Owned Utility",260046.291000,2001-01-01,2024-09-01,4,,,,,,,,,2024_q2,,,,
"Wolf Creek Nuclear Optg Corp","P O Box 411",Burlington,KS,66839,38.19394500,-95.73891100,N,Y,"Investor-Owned Utility",9996467.000000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"FirstLight CT Housatonic LLC","100 District Avenue, Suite 102",Burlington,MA,01803,42.48536600,-71.21229000,N,N,,0.000000,,,0,2019-07-16,2024-09-30,126,79470263.53,2019-10-01,2024-08-31,39,2312800.69,2024_q2,6,2627882.05,3,16431.24
"FirstLight CT Hydro LLC","100 District Avenue, Suite 102",Burlington,MA,01803,42.48536600,-71.21229000,N,N,,0.000000,,,0,2019-07-16,2024-09-30,126,4914140.64,,,,,2024_q2,6,171378.52,,
"FirstLight MA Hydro LLC","100 District Avenue, Suite 102",Burlington,MA,01803,42.48536600,-71.21229000,N,N,,0.000000,,,0,2019-07-16,2024-09-30,126,77736551.81,,,,,2024_q2,6,2518104.30,,
"FirstLight Power Management LLC","100 District Avenue, Suite 102",Burlington,MA,01803,42.48536600,-71.21229000,N,N,,0.000000,,,0,2019-07-01,2024-09-30,2749887,1190418083.48,2019-07-16,2024-09-30,502,509014973.14,2024_q2,141937,36245158.87,24,15590044.55
"Northfield Mountain LLC","100 District Avenue, Suite 102",Burlington,MA,01803,42.48536600,-71.21229000,N,N,,0.000000,,,0,2019-07-16,2024-09-30,124,346894017.16,2019-07-16,2024-09-30,45017,175645872.59,2024_q2,6,10272679.68,2161,4703467.36
"Burlington Generating Station","903 Devin & West Broad",Burlington,NJ,8016,40.07232998,-74.87591004,N,Y,"Independent Power Producer",31096.316000,2022-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"St. Albans Solar Partners, LLC","410 Shelburne Rd",Burlington,VT,5401,44.45371800,-73.20823100,Y,Y,"Independent Power Producer",2368.786000,2014-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Basin Creek Equity Partners, L.L.C.","65 E. Broadway",Butte,MT,59701,46.01407100,-112.53382200,N,N,,0.000000,,,0,2013-07-01,2024-09-30,450,75369108.89,,,,,2024_q2,10,1867620.99,,
"Basin Creek Power Services LLC","65 East Broadway",Butte,MT,59701,46.01407100,-112.53382200,Y,N,"Independent Power Producer",204790.000000,2006-06-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"NorthWestern Energy LLC - (MT)","11 E. Park Street",Butte,MT,59701,46.01295900,-112.53524900,Y,Y,"|Investor-Owned Utility",3867239.205000,2001-01-01,2024-10-01,29,2024-01-01,2024-10-01,728079,28800906.95,2013-07-01,2024-09-30,72227,612674664.41,2024_q2,227748,5373427.26,837,12515572.68
"ABEC #2 LLC","26953 Riverside Street",Buttonwillow,CA,93206,35.47939600,-119.43455800,Y,Y,"Independent Power Producer",9173.989000,2018-02-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Cadillac Renewable Energy LLC","1525 Miltner Street",Cadillac,MI,49601,44.26355400,-85.43551200,Y,N,"Independent Power Producer",146864.000000,2001-01-01,2023-12-01,1,2013-07-01,2024-10-01,491235,100261478.24,,,,,2024_q2,20837,4380381.45,,
"Spartan Renewable Energy, Inc.","10125 West Watergate RD",Cadillac,MI,49601,44.25990600,-85.29658200,N,N,,0.000000,,,0,2017-01-01,2024-09-30,158,2846529.38,2013-07-01,2024-09-30,234,87432536.14,2024_q2,6,142650.62,8,2283073.33
"Wolverine Power Supply Coop","P O Box 22910125 W Watergate R",Cadillac,MI,49601,44.24972500,-85.39477500,Y,N,Cooperative,990526.043000,2001-01-01,2023-12-01,8,2013-07-01,2024-10-01,12899564,5450353815.67,2013-07-01,2024-09-30,26374,1653810213.98,2024_q2,389592,135209775.43,783,42307434.85
"Butter Solar, LLC","400, 214 11 Ave SW",Calagry,AB,T2R0K,51.04274402,-114.06678781,Y,Y,"Independent Power Producer",33291.879000,2019-09-01,2023-12-01,8,,,,,,,,,2024_q2,,,,
"1001 Ebenezer Church Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",5487.676000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1008 Matthews Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8976.317000,2021-05-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1009 Yadkin Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8663.149000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1034 Catherine Lake Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",7876.939000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1045 Tomlin Mill Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8523.470000,2021-05-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1051 Lucky Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",4835.945000,2021-05-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"1073 Onslow Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",7136.118000,2021-05-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Acme Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8220.155000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"BEAM US, LLC","214 11th Avenue SW",Calgary,AB,"T2R 0",51.04274402,-114.06678781,N,N,"Independent Power Producer",112657.324000,2019-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Big Level Wind LLC","110 12 Ave SW",Calgary,AB,"T2P 2",51.04192410,-114.06454766,Y,N,"Independent Power Producer",283142.000000,2019-12-01,2024-10-01,1,2019-12-19,2024-10-01,107249,45704227.78,,,,,2024_q2,26988,1520381.85,,
"Carolina Lily Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",7839.319000,2021-05-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"CI-II Mitchell Holding LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",36432.671000,2019-11-01,2023-12-01,5,,,,,,,,,2024_q2,,,,
"Dynasty Power Inc.","200 , 638 6th Ave SW",Calgary,AB,T2P0S4,51.04802089,-114.07595979,N,N,,0.000000,,,0,2013-07-02,2024-10-01,1139153,1486525303.84,2018-07-28,2024-10-01,77402,435913798.11,2024_q2,58048,92008519.69,18254,44566874.65
"Heartland Generation Ltd.","400 3 Ave SW",Calgary,AB,"T2P 4H2",51.05101520,-114.07079486,N,N,,0.000000,,,0,2021-10-30,2024-09-23,415,28955867.94,2018-01-28,2024-09-30,222,1255808.01,2024_q2,41,722225.43,33,89039.00
"Plott Hound Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",205.000000,2021-05-01,2023-10-01,1,,,,,,,,,2024_q2,,,,
"Ray Wilson Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8440.872000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Solar Lee, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",8158.629000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Suncaster, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",3898.179000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Suncor Energy Marketing Inc.","150 - 6th Ave SW",Calgary,AB,"T2P 3E3",51.04759718,-114.06627894,N,N,,0.000000,,,0,2022-04-27,2024-06-28,13,17335.00,2021-09-27,2024-08-17,38,80070.00,2024_q2,2,450.00,2,4500.00
"Swansboro Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",7390.883000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Sweet Tea Solar, LLC","Box 1900, Station M 110 - 12th",Calgary,AB,T2P,51.04864737,-114.07531408,Y,N,"Independent Power Producer",6452.496000,2021-04-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
